people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
9227,"Elton Gallegly",Elton,,Gallegly,,,2,R,1,Rep,HD-CA-24,19889202,26750,N00007231,Elton_Gallegly,158740,0
9228,"Duncan Hunter",Duncan,D.,Hunter,,,2,R,1,Rep,HD-CA-50,17658760,104308,N00029258,Duncan_Hunter,272496,0
9229,"Jerry Lewis",Jerry,,Lewis,,,2,R,1,Rep,HD-CA-41,17927917,26769,N00007087,Jerry_Lewis_(California),158757,0
9230,"Gary Miller",Gary,G.,Miller,,,2,R,1,Rep,HD-CA-31,17658755,8346,N00006954,Gary_Miller_(U.S._House_of_Representatives),158758,0
9231,"Edward Royce",Edward,R.,Royce,,,2,R,1,Rep,HD-CA-39,390709,70848,N00008264,Edward_Royce,158756,0
9232,"James Sensenbrenner","F. James",,Sensenbrenner,Jr.,,2,R,1,Rep,HD-WI-5,3273057,27142,N00004291,Jim_Sensenbrenner,159134,0
9233,"Grace Napolitano",Grace,F.,Napolitano,,,1,D,1,Rep,HD-CA-32,774257,8393,N00006789,Grace_Napolitano,158751,0
9234,"Judy Chu",Judy,,Chu,,,1,D,1,Rep,HD-CA-27,1258090,16539,N00030600,Judy_Chu,209456,0
9235,"Eni Faleomavaega",Eni,F.H.,Faleomavaega,,,1,D,1,Rep,HD-AS,0,774,N00007632,Eni_F.H._Faleomavaega,0,0
9237,"Christopher Smith",Christopher,H.,Smith,,,2,R,1,Rep,HD-NJ-4,17658186,26952,N00009816,Chris_Smith_(New_Jersey),158955,0
9239,"Jason Altmire",Jason,,Altmire,,,1,D,1,Rep,HD-PA-4,17658714,59999,N00027664,Jason_Altmire,248367,0
9240,"Steve Austria",Steve,,Austria,,,2,R,1,Rep,HD-OH-7,2938048,23398,N00029412,Steve_Austria,197908,0
9242,"Brian Bilbray",Brian,P.,Bilbray,,,2,R,1,Rep,HD-CA-50,16566899,21916,N00006981,Brian_Bilbray,158766,0
9243,"Rob Bishop",Rob,,Bishop,,,2,R,1,Rep,HD-UT-1,15107372,50544,N00025292,Rob_Bishop,211710,0
9244,"Roy Blunt",Roy,,Blunt,,,2,R,2,Sen,HD-MO-7,3837002,418,N00005195,Roy_Blunt,158925,0
9245,"Jo Bonner",Jo,,Bonner,,,2,R,1,Rep,HD-AL-1,7027846,27522,N00025330,Jo_Bonner,211676,0
9246,"Dan Boren",Dan,,Boren,,,1,D,1,Rep,HD-OK-2,19889433,46182,N00026481,Dan_Boren,226533,0
